"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"AQ_ADIPOQ",0.0355929209959847,0.0596340182293565,-0.20119803891217,0.615234795126282,-0.125415897504574,0.20638418394685,-0.0900178446144766,0.047548267188137,-0.044524038214984,0.0149185521617858,-0.0461239206445648,0.00652145179768747,-0.0170597921710961,0.0110566892009558,-0.000725794029693766,-0.000162076185046351,0.00628879359729647,-0.000718683062172337,-0.00437134291717132,0.0291434685521851,0.00109299462960902,0.0191713227460149,-0.00618325685885025,-0.0166021877793622,0.0153227865750515,0.0015734945210873,-0.000685215021599977,-0.00293172266765245,-0.024022789693563,0.00183097499226789,0.0082964659187404,0.000237293337851214,0.0102728721405373,-0.000359219198324108,-4.42975012824983e-05,-0.00489578443067445,-0.00224284795961752,-0.000634305471579012,-0.00138063715282891,-0.00635571118119521,0.00459964490065622,0.00227065753062892,0.00261298157808479,0.00253375581222048,0.00153369938812587,0.707106781503162
"AQ_ALOX5",-0.1625510504315,-0.0892251394096074,-0.0190027313814845,0.0135885852821497,-0.158434081585141,-0.0379729426021448,0.227907675161018,-0.037049515058458,-0.0113568189964963,0.101629946306561,-0.143616226728897,-0.373048767475138,-0.180867363442421,-0.114293762410814,-0.163116114339747,0.106077381898529,-0.15737809901026,0.125308031930672,0.0865645070517424,0.0646231309184458,0.067485737668296,0.036301444564918,0.0169942394932454,-0.178139173723353,-0.0513806237475798,0.130232883628792,0.0662079773606199,0.036350316469895,0.126072139962347,0.0828430766782259,0.252332695177951,-0.0422351840267385,0.0408082048088631,0.232695168176441,0.05364260456068,0.258112361101805,0.165535417273271,-0.21116181968202,0.243846172085577,-0.155694630737172,0.0653445908286385,-0.284086074707267,0.0252073436257335,-0.241194579929874,-0.0546466005058137,3.10849016527115e-08
"AQ_ARG1",-0.0616130702869653,-0.372618436630134,0.0874330695420915,-0.00440158888052578,0.0409347028117932,0.168800907318455,0.123494330119416,0.394698607762854,-0.289639763752098,-0.0133713495075659,-0.123013976848908,0.210902017838543,0.0575913153602573,-0.169562164353329,0.01439174181768,-0.100602755331761,0.0506610040816158,0.143429937909221,-0.137206398318832,-0.04722381204739,-0.0865367706200945,0.258405017917337,-0.122530703713868,0.205149041619517,-0.085262479537723,0.171030472854806,0.0274692062418157,0.0334593635051662,0.268214985798963,-0.191570738974896,-0.138934785116931,0.0312651750030954,-0.199524352118429,0.0397456126315391,-0.0247260862962887,0.0573071618754423,0.0822183386661205,0.131907920883115,0.147927841508967,-0.138798749497683,-0.0411642326201114,-0.00215016132057562,0.0136786965145396,0.0434422087701271,-0.0719291697303682,1.12093027637705e-08
"AQ_BMP2",-0.123012461948388,-0.0979719494547221,0.0213206750411359,0.0522168211314983,0.304151665100692,0.0871852569000504,0.0331032290980042,0.0351812170679982,-0.264978908226026,-0.476495042592572,0.0372550262468759,-0.207229016139709,0.328207224656101,-0.0804205865971176,-0.0044136171242736,-0.027127432260818,0.145647920562475,-0.0921562340803913,0.0169182664460118,-0.0108656870848776,-0.201086514647836,0.0257000180834761,0.00646510726703497,0.0125122987920453,0.152467019490123,-0.0407951617295662,-0.0448065243285709,-0.14908723886617,-0.0920302893330706,0.162136418640574,0.06966584699765,-0.0113317124385421,0.308650367039932,0.267498878127485,0.155151163540247,0.1540638183889,-0.0246853549061248,-0.070038073808745,-0.152809811924641,0.0567564193761675,0.0195052612434124,-0.0523459999341836,-0.0322090643223492,0.0440595488020137,0.00230893760235139,-1.6300856220397e-09
"AQ_CCL2",-0.108519146301788,0.339326072627466,-0.147767075123763,-0.144249350070942,-0.084461177357701,0.0690233630616338,-0.00743682508751797,0.133994756271447,-0.127009658262767,0.060698063908024,-0.29183139642437,0.0565901997778957,0.154887257690578,0.111199384824809,0.304809760976008,-0.201297741509163,0.00240734397977357,0.0362206100545085,-0.0672244990899791,-0.330365231620355,0.0872253723224303,-0.0952548228035571,-0.020647472973131,-0.123068223666617,0.0330653261308048,0.315466843752369,-0.194726773184243,0.00999457828839357,-0.0105742353469654,0.0746947230672843,-0.117640745630931,0.116816148766078,0.0158433980536433,-0.0767434176607032,0.00467449299427761,0.19981468710316,0.0116076842770964,-0.256496408933258,0.0393793977211141,0.0537455404108108,0.240028961325209,0.00148318443102775,-0.0140598436808048,0.0189272929820579,0.169992674707964,6.45158010348368e-10
"AQ_CCL5",-0.184095590720432,0.0295184576344906,0.0835101623157481,0.0593697437064467,0.0483996610613458,0.111346719508709,0.0786529036458484,-0.0492562184492498,0.106929059102205,0.0173593978346658,0.186506840029235,0.104704214012208,-0.13261171257495,-0.0213330091494043,0.0490148116245705,-0.0694487611205981,0.145388362143113,-0.0833872967488579,-0.0325266413822572,-0.0667650467982153,-0.121762184427387,0.0420994136676334,0.11926476834037,0.13766033528866,-0.174589195960609,-0.135827081683915,-0.131622318280843,0.341090705878472,0.238738096098212,-0.166779609826066,0.198361994954061,0.203270485531931,0.212660015018583,-0.269009052769319,0.234327597329267,0.226577268412731,-0.0479486442879144,-0.252216154121604,-0.0244027643941628,0.16103507824301,-0.0600641883160384,0.113726227199147,-0.168229572645047,-0.148221085674859,-0.184641485568448,-5.31053819669003e-09
"AQ_CCR5",-0.174006029459937,0.135233958427761,0.0896271834051677,0.073930998919127,-0.0780993038564163,-0.0580583799323319,0.123348454622189,-0.00533673638440299,0.149637883571794,-0.112311599303872,0.196677717186502,0.0701500585486533,0.0747608251679132,-0.168082624118013,-0.0120933282863868,-0.227803379268078,0.065077363250975,0.0108690900253686,0.0535103341845303,-0.0598452373418319,0.00308890050190548,0.029705747018928,0.116034710799967,-0.15832560495368,-0.168726308323485,0.135274432815552,0.21007721888319,-0.0108833843763698,-0.0552866470486534,-0.163615099168018,-0.236496473590948,-0.183315173062252,0.185591843436689,0.0209787685223244,0.0342394440275095,-0.293055047268902,-0.0930405878862045,-0.322523688338992,0.0274670359539873,-0.449024916747431,-0.023080829436557,-0.0257634856868752,0.0405658052198688,0.19020432780674,-0.110073772125002,-2.70626492639148e-08
"AQ_CD274",-0.163001070659009,-0.110304048410346,-0.0266736577807235,0.0232897318735865,0.0381776846174474,-0.0757390584034396,-0.206074671032595,0.203602875510126,0.256425216489043,0.0753457358313791,-0.119422443898043,-0.0973043547268611,-0.0201953975420568,-0.227700075748023,0.090376809856738,0.0165435818093488,-0.00207793262215214,-0.176324804801828,0.0231832838412409,-0.254155705961205,-0.0466542544897793,-0.0410045886564741,-0.186103829440772,-0.045514924274885,-0.116974203696268,-0.0985965632173784,-0.47057145474893,0.0817371722575048,-0.0538075331563252,0.102559020884136,-0.00822830051363775,-0.33778420088413,0.0104468764576147,-0.00673823008907637,0.164893039018484,-0.160440183012224,0.106958157879855,0.14296091666117,-0.0225870168932741,-0.0960347779880577,-0.205974687947809,-0.160975143288239,-0.165134908874889,-0.0596643767525699,0.057268031279043,1.47728821189852e-08
"AQ_CD36",-0.163673254536572,-0.0224619164493791,0.0494534377033601,0.0169414316988275,-0.0922925919101535,-0.194444033527355,-0.243365358267493,0.0273733135895001,-0.14724925296196,-0.108320727327855,0.0680485424169459,0.0966673099914824,0.105965349979853,0.103339235567257,0.0572730191195212,-0.227169103701688,-0.296642094105782,0.199463487131055,0.0778212801092624,0.314344224142439,0.038180764491885,0.0749278403925273,0.119030264693537,-0.0208872865898899,-0.0270823817204027,0.168952029801762,-0.171009711602831,0.322100792786758,-0.160578676309236,0.22845925376157,0.022144478513642,0.328388763400914,-0.0117071999490827,0.0382003181423331,-0.00549563992627164,-0.106825059164375,-0.0327860057195559,0.068254499099341,-0.0394073628316626,-0.0534259487840351,-0.260291623849084,-0.172629822277508,-0.0695337756111121,-0.029047005193546,-0.100842438306942,4.00642821418717e-08
"AQ_CHKA",-0.111865736523306,0.127600846722974,0.279307151866737,0.123570597865873,0.116259281978092,-0.248376757363915,-0.139952478328931,0.0974790563636639,-0.284871039194367,0.259121830231359,-0.095644648675609,0.0825290723515966,-0.0476631153547029,0.236141975512961,-0.215707771711509,-0.0219561752185784,-0.0458637802059017,0.0617257296312915,-0.16425600285688,-0.0218754737533001,-0.0226738972780795,0.104764877838032,0.304558480354189,0.0490917130428622,-0.237341555837356,-0.0237087970723368,-0.0892438787905581,-0.343338829810674,-0.0266455732111662,-0.0549752112843556,0.152821958502351,-0.180037210767209,0.180358404569275,0.0295952733096318,0.0926024550104946,-0.0867591274920429,-0.0487049988263143,0.0320594880267414,0.140689444948174,0.0858279997988542,0.0995260518996787,0.0235410603478213,-0.162770712381121,0.0326565003046391,0.0630052806438442,-6.49800910995646e-10
